"sequences","output"
"SELECT  DISTINCT  ?label ?comment ?propertyNum1 ?propertyNum2 ?propertyNum3 ?propertyNum4 ?propertyNum5 ?propertyNum6 ?propertyTex1 ?propertyTex2 ?propertyTex3 ?propertyTex4 ?propertyTex5 ?propertyTex6 ?publisher ?publishDate ?productWHERE{    ?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product bsbm:productPropertyNumeric1 ?propertyNum1 .    ?product bsbm:productPropertyNumeric2 ?propertyNum2 .    ?product bsbm:productPropertyNumeric3 ?propertyNum3 .    ?product bsbm:productPropertyNumeric4 ?propertyNum4 .    ?product bsbm:productPropertyNumeric5 ?propertyNum5 .    ?product bsbm:productPropertyNumeric6 ?propertyNum6 .    ?product bsbm:productPropertyTextual1 ?propertyTex1 .    ?product bsbm:productPropertyTextual2 ?propertyTex2 .    ?product bsbm:productPropertyTextual3 ?propertyTex3 .    ?product bsbm:productPropertyTextual4 ?propertyTex4 .    ?product bsbm:productPropertyTextual5 ?propertyTex5 .    ?product bsbm:productPropertyTextual6 ?propertyTex6 .    ?product dc:publisher ?publisher .    ?product exp:publishDate ?publishDate .    ?product rdf:type bsbm:Product .}",1
"SELECT  DISTINCT  ?producer ?label ?comment ?homepage ?country ?publisher ?publishDateWHERE{   ?producer rdfs:label ?label .   ?producer rdfs:comment ?comment .   ?producer foaf:homepage ?homepage .   ?producer edm:country ?country .   ?producer bsbm:publisher ?publisher .   ?producer exp:publishDate ?publishDate .   ?producer rdf:type bsbm:Producer .}",1
"SELECT  DISTINCT  ?review ?reviewDate ?title ?text ?language ?rating1 ?rating2 ?rating3 ?rating4 ?publisher ?publishDateWHERE{	?review bsbm:reviewDate ?reviewDate .        ?review dc:title ?title .	?review rev:text ?text .	?review dcterms:language ?language .	?review bsbm:rating1 ?rating1 .	?review bsbm:rating2 ?rating2 .	?review bsbm:rating3 ?rating3 .	?review bsbm:rating4 ?rating4 .	?review dc:publisher ?publisher .	?review exp:publishDate ?publishDate .	?review rdf:type schema:Review .}",0
"SELECT  DISTINCT ?offer ?vendor ?price ?validFrom ?validTo ?deliveryDays ?offerWebpage ?publisher ?publishDateWHERE{	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer gr:validFrom ?validFrom .	?offer bsbm:validTo ?validTo .	?offer bsbm:deliveryDays ?deliveryDays .	?offer npg:webpage ?offerWebpage .	?offer dc:publisher ?publisher .	?offer exp:publishDate ?publishDate .	?offer rdf:type schema:Offer .}",1
"SELECT  DISTINCT ?person ?name ?mbox_sha1sum ?country ?publisher ?publishDateWHERE{   	?person edm:country ?country  .   	?person dc:publisher ?publisher .   	?person foaf:mbox_sha1sum ?mbox_sha1sum .   	?person exp:publishDate ?publishDate .   	?person foaf:name ?name .   	?person rdf:type foaf:Person .}",1
"SELECT  DISTINCT  ?product ?label ?comment WHERE{    ?product rdfs:label ?label .    ?product rdfs:comment ?comment .    ?product rdf:type bsbm:Product .}",0
"SELECT  DISTINCT  ?producer ?homepage ?countryWHERE{   ?producer foaf:homepage ?homepage .   ?producer edm:country ?country .   ?producer rdf:type bsbm:Producer .}",1
"SELECT  DISTINCT  ?review ?reviewDate ?title ?rating1WHERE{    ?review bsbm:reviewDate ?reviewDate .    ?review dc:title ?title .    ?review bsbm:rating1 ?rating1 .    ?review rdf:type schema:Review .}",1
"SELECT  DISTINCT ?offer  ?vendor ?priceWHERE{	?offer bsbm:vendor ?vendor .	?offer bsbm:price ?price .	?offer rdf:type schema:Offer .}",1
"SELECT  DISTINCT ?person ?name ?countryWHERE{   	?person edm:country ?country  .   	?person foaf:name ?name .   	?person rdf:type foaf:Person .}",1
