id,product,producer,vendor,price,validFrom,validTo,deliveryDays,publisher,publishDate,offerWebpage
1,42103,41187,40832,9666.48,1970-10-02,1977-08-15,1,380,1992-01-08,website
2,23282,36311,1064,6035.03,1953-11-23,1986-12-17,1,420,2019-09-15,website
3,44990,39780,26456,3965.52,1908-01-11,2007-06-24,4,297,2003-06-11,website
4,36331,39516,16669,5076.12,1962-01-08,1959-12-03,6,499,1965-08-26,website
5,12057,39230,219,4862.71,1967-03-13,1995-01-13,4,518,1994-05-25,website
6,31076,1601,38799,5295.2,1920-02-25,1994-08-01,4,225,1946-03-20,website
7,35294,4522,27920,4004.49,2016-08-28,1964-06-11,1,265,1990-11-08,website
8,26066,15808,45184,8200.82,1910-01-30,1944-04-13,3,106,1935-08-05,website
9,45850,5878,36387,845.43,1975-06-20,1981-04-21,5,545,1936-03-29,website
10,21330,46749,32506,3878.64,1912-03-09,1927-05-26,3,91,1983-05-18,website
11,22640,27370,28489,391.77,1992-05-04,1946-07-21,2,591,1962-08-27,website
12,45347,44910,18438,2297.78,1974-06-14,1990-07-24,1,968,1915-11-27,website
13,44324,21171,7243,506.96,1971-04-02,1989-08-22,2,386,1913-07-22,website
14,30991,2812,39262,7130.7,1953-09-11,2003-09-10,6,713,1908-03-18,website
15,39685,41633,10424,4552.38,1938-07-08,1939-08-27,3,866,1971-11-14,website
16,34569,1764,6857,6308.31,2017-06-13,1917-06-12,2,9,1943-01-16,website
17,35341,39675,36187,4408.5,1919-04-30,1955-10-11,3,603,1910-01-28,website
18,42067,45513,33270,9154.22,1925-12-12,1909-02-16,1,833,1950-04-04,website
19,37016,47685,27260,8210.25,2011-12-11,1936-06-05,2,99,1989-04-02,website
20,26803,38203,27236,5166.53,1949-02-02,1969-10-21,7,917,1998-10-09,website
21,26373,16077,34207,1604.09,1904-01-03,2007-01-29,7,10,1963-05-08,website
22,9272,16182,6036,8731.32,1996-12-09,1960-04-02,1,290,1908-10-11,website
23,42759,48457,44212,631.35,1931-08-12,1968-04-07,3,505,2008-02-16,website
24,26867,23996,44270,6227.74,2000-09-05,1988-09-01,3,279,1990-06-04,website
25,49053,14085,730,8789.9,1928-05-17,1906-05-28,1,967,1978-06-09,website
26,34182,2897,23912,6192.2,1953-12-22,2017-03-27,4,689,1997-05-06,website
27,37063,44511,15323,1577.51,1991-04-30,2005-02-28,1,537,1961-05-15,website
28,46141,39964,30584,2151,1915-12-21,1915-06-30,1,343,1944-12-23,website
29,40212,9032,18578,6510.88,2007-06-15,1994-12-17,3,338,2004-04-15,website
30,5347,18759,23934,3100.63,1975-08-06,1967-05-18,6,73,1960-04-17,website
31,29117,29660,24425,4305.25,1980-05-31,1998-05-22,4,988,1928-03-24,website
32,47939,33049,2978,1345.5,1984-11-27,1999-06-30,2,899,2010-06-20,website
33,45931,11778,18281,5442.88,1909-01-17,1926-06-12,4,742,1990-03-18,website
34,8817,24065,37406,981.58,1934-10-06,1904-12-19,1,830,1904-05-04,website
35,23206,5488,3240,2876.88,1984-09-10,2011-02-09,6,181,1987-04-18,website
36,10529,30513,38437,8505.81,2006-04-14,1934-04-01,6,4,1907-11-17,website
37,5165,32065,4159,5825.32,1957-09-29,1932-07-10,4,386,1945-01-06,website
38,530,1642,10228,6532.96,1999-07-14,1981-01-31,1,803,1962-05-04,website
39,36391,49881,26463,6259.55,1924-03-04,1935-06-11,6,239,1962-11-19,website
40,45652,15345,33426,4999.23,2010-10-08,1979-07-25,6,676,1905-05-14,website
41,32032,32191,4013,1928.44,1904-08-07,1975-07-29,4,719,1982-01-09,website
42,9163,14824,23696,1092.82,1973-10-20,1928-06-27,5,659,1943-08-11,website
43,40051,41855,757,6851.68,2007-09-05,1970-05-18,1,186,1983-04-25,website
44,18287,32591,37354,6290.68,1977-06-09,1938-08-16,7,119,1951-11-23,website
45,24820,30512,23118,8108.58,1920-12-17,1943-01-06,6,972,1997-02-27,website
46,8795,47251,15447,8390.28,1972-05-31,1931-12-07,7,324,1958-04-14,website
47,3821,24445,9328,1699.01,1960-04-07,1921-02-26,5,287,1936-04-06,website
48,12500,558,17489,5279.22,1985-12-11,2015-08-11,1,608,1999-10-17,website
49,17520,36010,27280,3668.06,1997-01-18,1946-10-04,1,123,1970-12-18,website
50,35447,24050,16392,2004.24,1927-05-17,2009-06-25,6,258,1900-12-18,website
51,17182,37276,43857,2518.33,2006-09-09,1989-07-22,7,766,2004-02-07,website
52,9588,8454,21860,5571.68,2012-02-26,1934-08-13,3,974,2002-08-12,website
53,1341,34687,10678,2473.87,1901-12-28,2008-02-12,2,340,1968-09-24,website
54,8316,40218,18353,3128.74,1991-01-19,1909-05-26,1,454,2006-09-23,website
55,18597,25181,13765,8164.9,1913-05-12,1901-03-24,5,92,1958-05-06,website
56,30579,24685,28469,19.08,1948-07-25,1998-03-09,1,943,2003-02-20,website
57,6675,17244,30878,19.25,1997-02-03,1967-09-25,4,332,1922-05-05,website
58,8067,23627,19069,6180.62,1965-12-25,2007-04-12,1,168,1918-11-09,website
59,11855,38555,7544,971.53,1987-08-30,1955-06-25,3,351,1996-12-07,website
60,24353,5669,24244,647.35,2014-11-16,1947-05-23,4,387,1935-05-23,website
61,23019,31086,9191,183.71,1986-03-22,2017-03-18,2,409,1952-11-01,website
62,30031,35909,32110,4083.08,1934-04-01,1992-04-27,2,376,1980-12-22,website
63,25691,30059,8600,6922.83,1911-02-08,1925-04-09,5,333,1973-02-19,website
64,28635,16811,11473,6591.94,1927-04-18,1932-11-01,5,760,1998-08-18,website
65,32072,42342,20513,3031.52,1907-10-11,1917-08-21,5,772,1984-03-31,website
66,39908,44828,45984,2638.38,1936-01-31,2003-03-12,7,495,1970-09-14,website
67,8617,44579,7348,3642.26,1970-03-08,2005-03-18,7,404,1940-09-02,website
68,26455,6529,15359,2124.98,1992-03-03,1909-05-24,7,405,1904-10-03,website
69,32344,46265,45445,797.94,1920-01-10,1901-09-04,3,521,1936-07-29,website
70,2587,35395,14192,6522.73,1921-06-26,1983-12-06,5,205,1967-09-20,website
71,36690,9947,21700,1792.94,1955-03-23,1928-05-17,7,409,1988-06-23,website
